question_index,question_id,category,mode,entity,slot,model_name,model_id,expected_value,expected_source,expected_revision,expected_deleted,model_value,model_source,model_revision,model_rationale,answer_correct,source_correct,revision_correct,latency_ms,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,raw_content
1,adversarial_project_000:launch_region,adversarial_policy,qsr,adversarial_project_000,launch_region,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,launch_region_governed_000,src/adversarial_project_000/launch_region/owner-approved-r5.md,5,False,,,,,False,False,False,9192.6,7301,1024,8325,0.00130886,"We need to find the current value for slot 'launch_region' of entity 'adversarial_project_000'. Today is 2026-07-08.

First, filter rows matching entity=adversarial_project_000 and slot=launch_region. From the context, relevant rows are:

- row 1: doc_id adversarial_project_000_launch_region_approved_future, type=value, value=launch_region_wrong_future_000, version=9, env=production, state=approved, source_trust=regulatory, valid_from=2026-12-01, valid_until=NONE. valid_from is after today (2026-12-01 > 2026-07-08), so not eligible (rule 3: valid_from must be on or before today). So ignore.

- row 9: doc_id adversarial_project_000_launch_region_revokes_high, type=revocation, entity=adversarial_project_000, slot=launch_region, revokes: adversarial_project_000_launch_region_approved_high_revoked, version=13, env=production, state=approved, source_trust=regulatory, effective_on=2026-05-01. This is a revocation row. It revokes a specific doc_id. We need to check if any value row is revoked by this. The revoked doc_id is adversarial_project_000_launch_region_approved_high_revoked. That corresponds to row 24.

- row 16: doc_id adversarial_project_000_launch_region_approved_imported, type=value, value=launch_region_wrong_imported_000, version=10, env=production, state=approved, source_trust=imported, valid_from=2026-01-01, valid_until=NONE. This is a candidate. But source_trust=imported. Rule 6: Ignore any candidate whose source_trust is imported if an eligible owner or regulatory candidate exists. So we need to check if there is an eligible owner or regulatory candidate.

- row 24: doc_id adversarial_project_000_launch_region_approved_high_revoked, type=value, value=launch_region_wrong_revoked_000, version=11, env=production, state=approved, source_trust=owner, valid_from=2026-01-01, valid_until=NONE. This is a candidate with source_trust=owner. But note that this doc_id is revoked by row 9. Rule 5: Ignore any candidate whose doc_id is named by a matching type=revocation row. So row 24 is revoked by row 9 (since row 9 revokes that doc_id). So row 24 is ignored.

- row 45: doc_id adversarial_project_000_launch_region_draft_latest, type=value, value=launch_region_wrong_draft_000, version=14, env=production, state=draft, source_trust=owner, valid_from=2026-01-01, valid_until=NONE. State is draft, not approved. Rule 2 requires state=approved. So not eligible.

- row 56: doc_id adversarial_project_000_launch_region_approved_5, type=value, value=launch_region_governed_000, version=5, env=production, state=approved, source_trust=owner, valid_from=2026-01-01, valid_until=NONE. This is a candidate with source_trust=owner. It is not revoked by any revocation row? Check revocation rows: row 9 revokes doc_id adversarial_project_000_launch_region_approved_high_revoked, not this one. So row 56 is not revoked. Also, no other revocation rows for this entity/slot? Only row 9 is for this entity/slot. So row 56 is eligible.

Now, we have two eligible value rows: row 16 (imported) and row 56 (owner). Rule 6: Ignore imported if eligible owner or regulatory exists. Since row 56 is owner (eligible), we ignore row 16. So only row 56 remains.

Now check rule 7: If an eligible type=tombstone row exists with effective_on on or before today, answer UNKNOWN. Are there any tombstone rows? None in the context. So no tombstone.

Thus, the answer is from row 56: value=launch_region_governed_000, source=src/adversarial_project_000/launch_region/owner-approved-r5.md, version=5.

But we must also consider rule 5: Ignore any candidate whose doc_id is named"
1,adversarial_project_000:launch_region,adversarial_policy,isc,adversarial_project_000,launch_region,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,launch_region_governed_000,src/adversarial_project_000/launch_region/owner-approved-r5.md,5,False,launch_region_governed_000,src/adversarial_project_000/launch_region/owner-approved-r5.md,5,"The compiled record for entity 'adversarial_project_000' slot 'launch_region' has value 'launch_region_governed_000' at revision 5, not deleted, sourced from the owner-approved document.",True,True,True,7269.6,204,341,545,0.00012404,"{
""value"": ""launch_region_governed_000"",
""source"": ""src/adversarial_project_000/launch_region/owner-approved-r5.md"",
""revision"": 5,
""rationale"": ""The compiled record for entity 'adversarial_project_000' slot 'launch_region' has value 'launch_region_governed_000' at revision 5, not deleted, sourced from the owner-approved document.""
}"
2,adversarial_project_001:risk_owner,adversarial_policy,qsr,adversarial_project_001,risk_owner,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,risk_owner_governed_001,src/adversarial_project_001/risk_owner/owner-approved-r6.md,6,False,,,,,False,False,False,13962.2,7295,1024,8319,0.00130802,"We need to find the current value for slot 'risk_owner' of entity 'adversarial_project_001'. Today is 2026-07-08.

First, identify all rows matching entity 'adversarial_project_001' and slot 'risk_owner'. From the context:

- row 1: doc_id adversarial_project_001_risk_owner_distractor_42, type=value, entity=adversarial_project_001, slot=risk_owner, value=risk_owner_distractor_7991, version=18, env=sandbox, state=draft, source_trust=owner, valid_from=2026-02-01, valid_until=NONE. Not production, not approved -> not eligible.

- row 13: doc_id adversarial_project_001_risk_owner_approved_future, type=value, entity=adversarial_project_001, slot=risk_owner, value=risk_owner_wrong_future_001, version=10, env=production, state=approved, source_trust=regulatory, valid_from=2026-12-01, valid_until=NONE. valid_from is after today (2026-07-08) -> not eligible.

- row 21: doc_id adversarial_project_001_risk_owner_revokes_high, type=revocation, entity=adversarial_project_001, slot=risk_owner, revokes=adversarial_project_001_risk_owner_approved_high_revoked, version=14, env=production, state=approved, source_trust=regulatory, effective_on=2026-05-01. This is a revocation row. It revokes a specific doc_id. We need to check if any candidate value row is revoked by this. The revocation is for doc_id adversarial_project_001_risk_owner_approved_high_revoked. That doc_id appears in row 53.

- row 41: doc_id adversarial_project_001_risk_owner_draft_latest, type=value, entity=adversarial_project_001, slot=risk_owner, value=risk_owner_wrong_draft_001, version=15, env=production, state=draft, source_trust=owner, valid_from=2026-01-01, valid_until=NONE. State=draft -> not approved -> not eligible.

- row 50: doc_id adversarial_project_001_risk_owner_approved_imported, type=value, entity=adversarial_project_001, slot=risk_owner, value=risk_owner_wrong_imported_001, version=11, env=production, state=approved, source_trust=imported, valid_from=2026-01-01, valid_until=NONE. This is a candidate: production, approved, valid_from on or before today, valid_until NONE. But source_trust=imported. Rule 6: Ignore any candidate whose source_trust is imported if an eligible owner or regulatory candidate exists. So we need to check if there is any eligible owner or regulatory candidate.

- row 53: doc_id adversarial_project_001_risk_owner_approved_high_revoked, type=value, entity=adversarial_project_001, slot=risk_owner, value=risk_owner_wrong_revoked_001, version=12, env=production, state=approved, source_trust=owner, valid_from=2026-01-01, valid_until=NONE. This is a candidate: production, approved, valid_from on or before today, valid_until NONE, source_trust=owner. But note: this doc_id is the one revoked by row 21. Rule 5: Ignore any candidate whose doc_id is named by a matching type=revocation row. So row 53 is revoked by row 21 (since row 21 revokes that doc_id). So row 53 is ignored.

- row 58: doc_id adversarial_project_001_risk_owner_approved_6, type=value, entity=adversarial_project_001, slot=risk_owner, value=risk_owner_governed_001, version=6, env=production, state=approved, source_trust=owner, valid_from=2026-01-01, valid_until=NONE. This is a candidate: production, approved, valid_from on or before today, valid_until NONE, source_trust=owner. Not revoked by any revocation row? Check revocation rows: row 21 revokes doc_id adversarial_project_001_risk_owner_approved_high_revoked, not this one. So row 58 is not revoked.

Now, we have two eligible value rows: row 50 (imported) and row 58 (owner). Rule"
2,adversarial_project_001:risk_owner,adversarial_policy,isc,adversarial_project_001,risk_owner,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,risk_owner_governed_001,src/adversarial_project_001/risk_owner/owner-approved-r6.md,6,False,risk_owner_governed_001,src/adversarial_project_001/risk_owner/owner-approved-r6.md,6,The compiled record for entity 'adversarial_project_001' slot 'risk_owner' is not deleted (deleted: false) and provides the value 'risk_owner_governed_001' at revision 6 from the specified source.,True,True,True,1758.6,202,218,420,8.932e-05,"{
""value"": ""risk_owner_governed_001"",
""source"": ""src/adversarial_project_001/risk_owner/owner-approved-r6.md"",
""revision"": 6,
""rationale"": ""The compiled record for entity 'adversarial_project_001' slot 'risk_owner' is not deleted (deleted: false) and provides the value 'risk_owner_governed_001' at revision 6 from the specified source.""
}"
3,adversarial_project_002:capital_plan,adversarial_deleted,qsr,adversarial_project_002,capital_plan,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,UNKNOWN,src/adversarial_project_002/capital_plan/regulatory-delete-r14.md,14,True,,,,,True,False,False,12483.9,7261,1024,8285,0.00130326,"We need to determine the current value for slot 'capital_plan' of entity 'adversarial_project_002' as of today 2026-07-08.

First, identify all rows matching entity='adversarial_project_002' and slot='capital_plan'. From the context:

- row 8: doc_id adversarial_project_002_capital_plan_approved_7, type=value, value=capital_plan_governed_002, version=7, env=production, state=approved, source_trust=owner, valid_from=2026-01-01, valid_until=NONE, source=src/adversarial_project_002/capital_plan/owner-approved-r7.md
- row 17: doc_id adversarial_project_002_capital_plan_approved_high_revoked, type=value, value=capital_plan_wrong_revoked_002, version=13, env=production, state=approved, source_trust=owner, valid_from=2026-01-01, valid_until=NONE, source=src/adversarial_project_002/capital_plan/owner-approved-r13.md
- row 18: doc_id adversarial_project_002_capital_plan_draft_latest, type=value, value=capital_plan_wrong_draft_002, version=16, env=production, state=draft, source_trust=owner, valid_from=2026-01-01, valid_until=NONE, source=src/adversarial_project_002/capital_plan/draft-r16.md
- row 35: doc_id adversarial_project_002_capital_plan_approved_imported, type=value, value=capital_plan_wrong_imported_002, version=12, env=production, state=approved, source_trust=imported, valid_from=2026-01-01, valid_until=NONE, source=src/adversarial_project_002/capital_plan/imported-r12.md
- row 43: doc_id adversarial_project_002_capital_plan_tombstone, type=tombstone, entity=adversarial_project_002, slot=capital_plan, value=DELETED, version=14, env=production, state=approved, source_trust=regulatory, effective_on=2026-06-15, source=src/adversarial_project_002/capital_plan/regulatory-delete-r14.md
- row 44: doc_id adversarial_project_002_capital_plan_revokes_high, type=revocation, entity=adversarial_project_002, slot=capital_plan, revokes=adversarial_project_002_capital_plan_approved_high_revoked, version=15, env=production, state=approved, source_trust=regulatory, effective_on=2026-05-01, source=src/adversarial_project_002/capital_plan/revocation-r15.md
- row 45: doc_id adversarial_project_002_capital_plan_approved_future, type=value, value=capital_plan_wrong_future_002, version=11, env=production, state=approved, source_trust=regulatory, valid_from=2026-12-01, valid_until=NONE, source=src/adversarial_project_002/capital_plan/future-r11.md
- row 59: doc_id adversarial_project_002_capital_plan_distractor_23, type=value, value=capital_plan_distractor_9962, version=9, env=sandbox, state=draft, source_trust=regulatory, valid_from=2026-11-01, valid_until=NONE, source=src/adversarial_project_002/capital_plan/distractor-23.md

Also row 64 is for risk_owner, not capital_plan.

Now apply resolution rules:

Rule 1: Only rows matching entity and slot. So we consider the above rows.

Rule 2: Candidate rows must have type=value, env=production, state=approved. So we filter:

- row 8: type=value, env=production, state=approved -> candidate.
- row 17: type=value, env=production, state=approved -> candidate.
- row 18: state=draft -> not candidate.
- row 35: type=value, env=production, state=approved -> candidate.
- row 45: type=value, env=production, state=approved -> candidate.
- row 59: env=sandbox -> not candidate.

So candidates: rows 8, 17, 35, 45.

Rule 3: valid_from must be on or before today (2026-07-08). Check each:
- row 8: valid_from="
3,adversarial_project_002:capital_plan,adversarial_deleted,isc,adversarial_project_002,capital_plan,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,UNKNOWN,src/adversarial_project_002/capital_plan/regulatory-delete-r14.md,14,True,UNKNOWN,src/adversarial_project_002/capital_plan/regulatory-delete-r14.md,14,"The compiled record indicates deletion (deleted: true), so the value is set to UNKNOWN per instructions.",True,True,True,2719.8,197,277,474,0.00010514,"{
""value"": ""UNKNOWN"",
""source"": ""src/adversarial_project_002/capital_plan/regulatory-delete-r14.md"",
""revision"": 14,
""rationale"": ""The compiled record indicates deletion (deleted: true), so the value is set to UNKNOWN per instructions.""
}"
4,adversarial_project_003:launch_region,adversarial_policy,qsr,adversarial_project_003,launch_region,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,launch_region_governed_003,src/adversarial_project_003/launch_region/owner-approved-r8.md,8,False,,,,,False,False,False,7375.1,7333,1024,8357,0.00131334,"We need to determine the current value for slot 'launch_region' of entity 'adversarial_project_003' using the provided governance rows and resolution rules. Today is 2026-07-08.

First, filter rows that match entity='adversarial_project_003' and slot='launch_region'. From the context, the relevant rows are:

- row 3: doc_id adversarial_project_003_launch_region_approved_high_revoked, type=value, value=launch_region_wrong_revoked_003, version=14, env=production, state=approved, source_trust=owner, valid_from=2026-01-01, valid_until=NONE, source=src/adversarial_project_003/launch_region/owner-approved-r14.md
- row 27: doc_id adversarial_project_003_launch_region_approved_8, type=value, value=launch_region_governed_003, version=8, env=production, state=approved, source_trust=owner, valid_from=2026-01-01, valid_until=NONE, source=src/adversarial_project_003/launch_region/owner-approved-r8.md
- row 28: doc_id adversarial_project_003_launch_region_revokes_high, type=revocation, entity=adversarial_project_003, slot=launch_region, revokes=adversarial_project_003_launch_region_approved_high_revoked, version=16, env=production, state=approved, source_trust=regulatory, effective_on=2026-05-01, source=src/adversarial_project_003/launch_region/revocation-r16.md
- row 33: doc_id adversarial_project_003_launch_region_approved_imported, type=value, value=launch_region_wrong_imported_003, version=13, env=production, state=approved, source_trust=imported, valid_from=2026-01-01, valid_until=NONE, source=src/adversarial_project_003/launch_region/imported-r13.md
- row 43: doc_id adversarial_project_003_launch_region_draft_latest, type=value, value=launch_region_wrong_draft_003, version=17, env=production, state=draft, source_trust=owner, valid_from=2026-01-01, valid_until=NONE, source=src/adversarial_project_003/launch_region/draft-r17.md
- row 44: doc_id adversarial_project_003_launch_region_approved_future, type=value, value=launch_region_wrong_future_003, version=12, env=production, state=approved, source_trust=regulatory, valid_from=2026-12-01, valid_until=NONE, source=src/adversarial_project_003/launch_region/future-r12.md

Now apply resolution rules step by step.

Rule 1: Consider only rows matching the requested entity and slot. Already done.

Rule 2: Candidate rows must have type=value, env=production, state=approved. So we only consider rows with type=value, env=production, state=approved. Among the above, rows 3, 27, 33, 44 have type=value, env=production, state=approved. Row 43 has state=draft, so excluded. Row 44 has valid_from=2026-12-01, which is after today (2026-07-08), so it fails rule 3 (valid_from on or before today). So row 44 is excluded. So candidates: row 3 (version 14), row 27 (version 8), row 33 (version 13).

Rule 3: valid_from on or before today. All three have valid_from=2026-01-01, which is before today, so okay.

Rule 4: valid_until must be NONE or after today. All three have valid_until=NONE, so okay.

Rule 5: Ignore any candidate whose doc_id is named by a matching type=revocation row. We have a revocation row (row 28) that revokes doc_id adversarial_project_003_launch_region_approved_high_revoked. That matches row 3's doc_id. So row 3 is ignored because it is revoked. The revocation row itself is type=revocation, not type=value, so it doesn't become a candidate. But it causes row 3 to be ignored.

Rule 6: Ignore any candidate whose source_trust is imported if an eligible owner or"
4,adversarial_project_003:launch_region,adversarial_policy,isc,adversarial_project_003,launch_region,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,launch_region_governed_003,src/adversarial_project_003/launch_region/owner-approved-r8.md,8,False,launch_region_governed_003,src/adversarial_project_003/launch_region/owner-approved-r8.md,8,The compiled record indicates the slot is not deleted and has the given value.,True,True,True,3116.5,204,262,466,0.00010192,"{""value"": ""launch_region_governed_003"", ""source"": ""src/adversarial_project_003/launch_region/owner-approved-r8.md"", ""revision"": 8, ""rationale"": ""The compiled record indicates the slot is not deleted and has the given value.""}"
5,adversarial_project_004:risk_owner,adversarial_policy,qsr,adversarial_project_004,risk_owner,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,risk_owner_governed_004,src/adversarial_project_004/risk_owner/owner-approved-r5.md,5,False,,,,,False,False,False,16685.9,7279,1024,8303,0.00130578,"{
""value"": ""risk_owner_go"
5,adversarial_project_004:risk_owner,adversarial_policy,isc,adversarial_project_004,risk_owner,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,risk_owner_governed_004,src/adversarial_project_004/risk_owner/owner-approved-r5.md,5,False,risk_owner_governed_004,src/adversarial_project_004/risk_owner/owner-approved-r5.md,5,"The compiled record for entity 'adversarial_project_004' slot 'risk_owner' is not deleted (deleted: false), so the current value is taken directly from the record.",True,True,True,3119.9,202,206,408,8.596e-05,"{
""value"": ""risk_owner_governed_004"",
""source"": ""src/adversarial_project_004/risk_owner/owner-approved-r5.md"",
""revision"": 5,
""rationale"": ""The compiled record for entity 'adversarial_project_004' slot 'risk_owner' is not deleted (deleted: false), so the current value is taken directly from the record.""
}"
