question_index,question_id,category,mode,entity,slot,model_name,model_id,expected_value,expected_source,expected_revision,expected_deleted,model_value,model_source,model_revision,model_rationale,answer_correct,source_correct,revision_correct,latency_ms,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,raw_content
1,project_000:launch_region,corrected,qsr,project_000,launch_region,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,launch_region_corrected_project_000,src/project_000/launch_region/rev-5.md,5,False,launch_region_corrected_project_000,src/project_000/launch_region/rev-5.md,5,"The only entry for project_000 and launch_region with current_flag=true is revision 5, which has the value 'launch_region_corrected_project_000'.",True,True,True,3695.9,2458,260,2718,0.00041692,"{
""value"": ""launch_region_corrected_project_000"",
""source"": ""src/project_000/launch_region/rev-5.md"",
""revision"": 5,
""rationale"": ""The only entry for project_000 and launch_region with current_flag=true is revision 5, which has the value 'launch_region_corrected_project_000'.""
}"
1,project_000:launch_region,corrected,isc,project_000,launch_region,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,launch_region_corrected_project_000,src/project_000/launch_region/rev-5.md,5,False,launch_region_corrected_project_000,src/project_000/launch_region/rev-5.md,5,The compiled record indicates the slot is not deleted and has a value.,True,True,True,2997.6,197,257,454,9.954e-05,"{
""value"": ""launch_region_corrected_project_000"",
""source"": ""src/project_000/launch_region/rev-5.md"",
""revision"": 5,
""rationale"": ""The compiled record indicates the slot is not deleted and has a value.""
}"
2,project_013:launch_region,deleted,qsr,project_013,launch_region,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,UNKNOWN,src/project_013/launch_region/delete.md,5,True,UNKNOWN,src/project_013/launch_region/delete.md,5,"The deletion tombstone (revision 5, current_flag true) for project_013 launch_region indicates the slot has been deleted, so the answer is UNKNOWN.",True,True,True,5055.2,2440,253,2693,0.00041244,"{
""value"": ""UNKNOWN"",
""source"": ""src/project_013/launch_region/delete.md"",
""revision"": 5,
""rationale"": ""The deletion tombstone (revision 5, current_flag true) for project_013 launch_region indicates the slot has been deleted, so the answer is UNKNOWN.""
}"
2,project_013:launch_region,deleted,isc,project_013,launch_region,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,UNKNOWN,src/project_013/launch_region/delete.md,5,True,UNKNOWN,src/project_013/launch_region/delete.md,5,The slot 'launch_region' for entity 'project_013' has been deleted as per the deletion record.,True,True,True,2802.9,188,393,581,0.00013636,"{
""value"": ""UNKNOWN"",
""source"": ""src/project_013/launch_region/delete.md"",
""revision"": 5,
""rationale"": ""The slot 'launch_region' for entity 'project_013' has been deleted as per the deletion record.""
}"
3,project_027:capital_plan,ordinary,qsr,project_027,capital_plan,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,capital_plan_v4_1583,src/project_027/capital_plan/rev-4.md,4,False,capital_plan_v4_1583,src/project_027/capital_plan/rev-4.md,4,"Among all entries for entity 'project_027' and slot 'capital_plan', only revision 4 has current_flag: true, indicating it is the current value.",True,True,True,6757.3,2435,217,2652,0.00040166,"{
""value"": ""capital_plan_v4_1583"",
""source"": ""src/project_027/capital_plan/rev-4.md"",
""revision"": 4,
""rationale"": ""Among all entries for entity 'project_027' and slot 'capital_plan', only revision 4 has current_flag: true, indicating it is the current value.""
}"
3,project_027:capital_plan,ordinary,isc,project_027,capital_plan,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,capital_plan_v4_1583,src/project_027/capital_plan/rev-4.md,4,False,capital_plan_v4_1583,src/project_027/capital_plan/rev-4.md,4,"The compiled record for entity 'project_027' slot 'capital_plan' is not deleted (deleted: false), so the current value is taken directly from the record.",True,True,True,9144.6,194,192,386,8.092e-05,"{
""value"": ""capital_plan_v4_1583"",
""source"": ""src/project_027/capital_plan/rev-4.md"",
""revision"": 4,
""rationale"": ""The compiled record for entity 'project_027' slot 'capital_plan' is not deleted (deleted: false), so the current value is taken directly from the record.""
}"
4,project_003:launch_region,corrected,qsr,project_003,launch_region,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,launch_region_corrected_project_003,src/project_003/launch_region/rev-4.md,4,False,launch_region_corrected_project_003,src/project_003/launch_region/rev-4.md,4,"Both revision 3 and revision 4 for project_003 launch_region have current_flag true, but revision 4 is higher and thus the current answer.",True,True,True,4843.6,2446,311,2757,0.00042952,"{
""value"": ""launch_region_corrected_project_003"",
""source"": ""src/project_003/launch_region/rev-4.md"",
""revision"": 4,
""rationale"": ""Both revision 3 and revision 4 for project_003 launch_region have current_flag true, but revision 4 is higher and thus the current answer.""
}"
4,project_003:launch_region,corrected,isc,project_003,launch_region,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,launch_region_corrected_project_003,src/project_003/launch_region/rev-4.md,4,False,launch_region_corrected_project_003,src/project_003/launch_region/rev-4.md,4,Compiled record indicates value is not deleted; using the provided value.,True,True,True,2286.9,197,248,445,9.702e-05,"{
""value"": ""launch_region_corrected_project_003"",
""source"": ""src/project_003/launch_region/rev-4.md"",
""revision"": 4,
""rationale"": ""Compiled record indicates value is not deleted; using the provided value.""
}"
5,project_008:launch_region,deleted,qsr,project_008,launch_region,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,UNKNOWN,src/project_008/launch_region/delete.md,3,True,UNKNOWN,src/project_008/launch_region/delete.md,3,"The deletion tombstone for project_008 launch_region at revision 3 has current_flag true and deleted true, indicating the value is unknown.",True,True,True,2667.3,2418,266,2684,0.000413,"{
""value"": ""UNKNOWN"",
""source"": ""src/project_008/launch_region/delete.md"",
""revision"": 3,
""rationale"": ""The deletion tombstone for project_008 launch_region at revision 3 has current_flag true and deleted true, indicating the value is unknown.""
}"
5,project_008:launch_region,deleted,isc,project_008,launch_region,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,UNKNOWN,src/project_008/launch_region/delete.md,3,True,UNKNOWN,src/project_008/launch_region/delete.md,3,"The compiled record indicates deletion (deleted: true), so the value is set to UNKNOWN per instructions.",True,True,True,9358.7,188,266,454,0.0001008,"{
""value"": ""UNKNOWN"",
""source"": ""src/project_008/launch_region/delete.md"",
""revision"": 3,
""rationale"": ""The compiled record indicates deletion (deleted: true), so the value is set to UNKNOWN per instructions.""
}"
