question_index,question_id,category,mode,entity,slot,model_name,model_id,expected_value,expected_source,expected_revision,expected_deleted,model_value,model_source,model_revision,model_rationale,answer_correct,source_correct,revision_correct,latency_ms,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,raw_content
1,adversarial_project_000:launch_region,adversarial_policy,qsr,adversarial_project_000,launch_region,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,launch_region_governed_000,src/adversarial_project_000/launch_region/owner-approved-r5.md,5,False,,,,,False,False,False,7236.1,7329,1024,8353,0.00131278,"We need to determine the current value for slot 'launch_region' of entity 'adversarial_project_000' using the provided governance rows and resolution rules. Today is 2026-07-08.

First, filter rows for entity 'adversarial_project_000' and slot 'launch_region'. Relevant rows:

- row 31: doc_id adversarial_project_000_launch_region_approved_high_revoked, type=value, entity=adversarial_project_000, slot=launch_region, value=launch_region_wrong_revoked_000, version=11, env=production, state=approved, source_trust=owner, valid_from=2026-01-01, valid_until=NONE, source=src/adversarial_project_000/launch_region/owner-approved-r11.md

- row 33: doc_id adversarial_project_000_launch_region_approved_5, type=value, entity=adversarial_project_000, slot=launch_region, value=launch_region_governed_000, version=5, env=production, state=approved, source_trust=owner, valid_from=2026-01-01, valid_until=NONE, source=src/adversarial_project_000/launch_region/owner-approved-r5.md

- row 40: doc_id adversarial_project_000_launch_region_revokes_high, type=revocation, entity=adversarial_project_000, slot=launch_region, revokes=adversarial_project_000_launch_region_approved_high_revoked, version=13, env=production, state=approved, source_trust=regulatory, effective_on=2026-05-01, source=src/adversarial_project_000/launch_region/revocation-r13.md

- row 46: doc_id adversarial_project_000_launch_region_distractor_48, type=revocation, entity=adversarial_project_000, slot=launch_region, value=launch_region_distractor_1132, version=10, env=production, state=proposal, source_trust=imported, valid_from=2026-11-01, valid_until=2027-01-01, source=src/adversarial_project_000/launch_region/distractor-48.md

- row 56: doc_id adversarial_project_000_launch_region_draft_latest, type=value, entity=adversarial_project_000, slot=launch_region, value=launch_region_wrong_draft_000, version=14, env=production, state=draft, source_trust=owner, valid_from=2026-01-01, valid_until=NONE, source=src/adversarial_project_000/launch_region/draft-r14.md

- row 61: doc_id adversarial_project_000_launch_region_approved_future, type=value, entity=adversarial_project_000, slot=launch_region, value=launch_region_wrong_future_000, version=9, env=production, state=approved, source_trust=regulatory, valid_from=2026-12-01, valid_until=NONE, source=src/adversarial_project_000/launch_region/future-r9.md

- row 64: doc_id adversarial_project_000_launch_region_approved_imported, type=value, entity=adversarial_project_000, slot=launch_region, value=launch_region_wrong_imported_000, version=10, env=production, state=approved, source_trust=imported, valid_from=2026-01-01, valid_until=NONE, source=src/adversarial_project_000/launch_region/imported-r10.md

Also note there is a tombstone? No explicit tombstone row for this entity/slot. But rule 7 says if an eligible type=tombstone row exists with effective_on on or before today, answer UNKNOWN. There is no tombstone row in the context for adversarial_project_000 launch_region. So rule 7 does not apply.

Now apply rules step by step.

Rule 1: Consider only rows matching the requested entity and slot. So we have the rows above.

Rule 2: Candidate rows must have type=value, env=production, state=approved. So we need rows with type=value, env=production, state=approved. Among the value rows:

- row 31: state=approved, env=production -> candidate.
- row 33: state=approved, env=production -> candidate.
- row"
1,adversarial_project_000:launch_region,adversarial_policy,isc,adversarial_project_000,launch_region,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,launch_region_governed_000,src/adversarial_project_000/launch_region/owner-approved-r5.md,5,False,launch_region_governed_000,src/adversarial_project_000/launch_region/owner-approved-r5.md,5,"The compiled substrate record for entity 'adversarial_project_000' and slot 'launch_region' shows value 'launch_region_governed_000' with revision 5, not deleted, from the specified source.",True,True,True,2763.2,204,327,531,0.00012012,"{
""value"": ""launch_region_governed_000"",
""source"": ""src/adversarial_project_000/launch_region/owner-approved-r5.md"",
""revision"": 5,
""rationale"": ""The compiled substrate record for entity 'adversarial_project_000' and slot 'launch_region' shows value 'launch_region_governed_000' with revision 5, not deleted, from the specified source.""
}"
2,adversarial_project_001:risk_owner,adversarial_policy,qsr,adversarial_project_001,risk_owner,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,risk_owner_governed_001,src/adversarial_project_001/risk_owner/owner-approved-r6.md,6,False,,,,,False,False,False,11473.0,7280,1024,8304,0.00130592,"We need to find the current value for entity 'adversarial_project_001', slot 'risk_owner'. Today is 2026-07-08.

First, identify all rows matching entity=adversarial_project_001 and slot=risk_owner. From the context:

- row 12: doc_id adversarial_project_001_risk_owner_approved_future, type=value, entity=adversarial_project_001, slot=risk_owner, value=risk_owner_wrong_future_001, version=10, env=production, state=approved, source_trust=regulatory, valid_from=2026-12-01, valid_until=NONE. valid_from is after today (2026-12-01 > 2026-07-08), so not eligible (rule 3: valid_from must be on or before today).

- row 24: doc_id adversarial_project_001_risk_owner_revokes_high, type=revocation, entity=adversarial_project_001, slot=risk_owner, revokes: adversarial_project_001_risk_owner_approved_high_revoked, version=14, env=production, state=approved, source_trust=regulatory, effective_on=2026-05-01. This is a revocation row. It revokes a specific doc_id. We need to check if it matches any candidate value row. Rule 5: Ignore any candidate whose doc_id is named by a matching type=revocation row. So if a value row has doc_id that is listed in a revocation row's revokes field, that value row is ignored. Here, the revocation row revokes doc_id 'adversarial_project_001_risk_owner_approved_high_revoked'. That doc_id appears in row 38.

- row 31: doc_id adversarial_project_001_risk_owner_approved_6, type=value, entity=adversarial_project_001, slot=risk_owner, value=risk_owner_governed_001, version=6, env=production, state=approved, source_trust=owner, valid_from=2026-01-01, valid_until=NONE. This is a candidate: valid_from 2026-01-01 <= today, valid_until NONE, env=production, state=approved, type=value. source_trust=owner. Not revoked? Check if any revocation row revokes this doc_id. The revocation row 24 revokes a different doc_id. There is also row 47: doc_id adversarial_project_001_risk_owner_distractor_16, type=revocation, entity=adversarial_project_001, slot=risk_owner, value=risk_owner_distractor_3960, version=17, env=production, state=approved, source_trust=owner, valid_from=2025-01-01, valid_until=2027-01-01. This revocation row does not have a revokes field? Actually, it has a value field, not revokes. So it is a revocation row that revokes a value? The rule says: ""Ignore any candidate whose doc_id is named by a matching type=revocation row."" That means a revocation row must have a revokes field that names the doc_id of a value row. In row 47, it has a value field, not revokes. So it is not a revocation that targets a specific doc_id. It might be a different type? Actually, the row type is revocation, but it has a value field. That seems inconsistent. Possibly it is a revocation that revokes a value by its own value? But the rule specifically says ""doc_id is named by a matching type=revocation row"" meaning the revocation row's revokes field. Since row 47 does not have a revokes field, it does not affect candidate doc_ids. So row 31 is not revoked by row 47. Also check row 24: it revokes a different doc_id. So row 31 is not revoked.

- row 38: doc_id adversarial_project_001_risk_owner_approved_high_revoked, type=value, entity=adversarial_project_001, slot=risk_owner, value=risk_owner_wrong_revoked_001, version=12, env=production, state=approved, source_trust=owner, valid_from=2026-01-01, valid_until=NONE. This row is revoked by row 24 because row 24's revokes field equals this doc_id. So rule 5 applies: ignore this candidate.

- row 48: doc_id adversarial_project_001_risk_owner_draft_latest, type=value, entity=adversarial_project_001, slot=risk_owner, value=risk_owner_wrong_draft_"
2,adversarial_project_001:risk_owner,adversarial_policy,isc,adversarial_project_001,risk_owner,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,risk_owner_governed_001,src/adversarial_project_001/risk_owner/owner-approved-r6.md,6,False,risk_owner_governed_001,src/adversarial_project_001/risk_owner/owner-approved-r6.md,6,"The compiled substrate record for entity 'adversarial_project_001' and slot 'risk_owner' shows value 'risk_owner_governed_001' with revision 6 and deletion status false, indicating this is the current authoritative value.",True,True,True,4028.5,202,215,417,8.848e-05,"{
""value"": ""risk_owner_governed_001"",
""source"": ""src/adversarial_project_001/risk_owner/owner-approved-r6.md"",
""revision"": 6,
""rationale"": ""The compiled substrate record for entity 'adversarial_project_001' and slot 'risk_owner' shows value 'risk_owner_governed_001' with revision 6 and deletion status false, indicating this is the current authoritative value.""
}"
3,adversarial_project_002:capital_plan,adversarial_deleted,qsr,adversarial_project_002,capital_plan,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,UNKNOWN,src/adversarial_project_002/capital_plan/regulatory-delete-r14.md,14,True,,,,,True,False,False,11922.2,7297,1024,8321,0.0013083,"{
""value"": ""UNKNOWN"",
""source"": ""src/adversarial_project_002/capital_plan/regulatory-delete-r14.md"",
""revision"": 14,
""rationale"": ""Tombstone row (doc_id: adversarial_project_002_capital_plan"
3,adversarial_project_002:capital_plan,adversarial_deleted,isc,adversarial_project_002,capital_plan,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,UNKNOWN,src/adversarial_project_002/capital_plan/regulatory-delete-r14.md,14,True,UNKNOWN,src/adversarial_project_002/capital_plan/regulatory-delete-r14.md,14,"The compiled record indicates deletion (deleted: true), so the value is set to UNKNOWN per instructions.",True,True,True,3195.1,197,279,476,0.0001057,"{
""value"": ""UNKNOWN"",
""source"": ""src/adversarial_project_002/capital_plan/regulatory-delete-r14.md"",
""revision"": 14,
""rationale"": ""The compiled record indicates deletion (deleted: true), so the value is set to UNKNOWN per instructions.""
}"
4,adversarial_project_003:launch_region,adversarial_policy,qsr,adversarial_project_003,launch_region,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,launch_region_governed_003,src/adversarial_project_003/launch_region/owner-approved-r8.md,8,False,,,,,False,False,False,10408.6,7338,1024,8362,0.00131404,"We need to determine the current value for slot 'launch_region' of entity 'adversarial_project_003' using the provided governance rows and resolution rules. Today is 2026-07-08.

First, filter rows matching entity='adversarial_project_003' and slot='launch_region'. Relevant rows:

- row 3: doc_id adversarial_project_003_launch_region_approved_imported, type=value, value=launch_region_wrong_imported_003, version=13, env=production, state=approved, source_trust=imported, valid_from=2026-01-01, valid_until=NONE.
- row 4: doc_id adversarial_project_003_launch_region_approved_high_revoked, type=value, value=launch_region_wrong_revoked_003, version=14, env=production, state=approved, source_trust=owner, valid_from=2026-01-01, valid_until=NONE.
- row 17: doc_id adversarial_project_003_launch_region_approved_future, type=value, value=launch_region_wrong_future_003, version=12, env=production, state=approved, source_trust=regulatory, valid_from=2026-12-01, valid_until=NONE. valid_from is after today (2026-12-01 > 2026-07-08), so not eligible.
- row 20: doc_id adversarial_project_003_launch_region_approved_8, type=value, value=launch_region_governed_003, version=8, env=production, state=approved, source_trust=owner, valid_from=2026-01-01, valid_until=NONE.
- row 30: doc_id adversarial_project_003_launch_region_draft_latest, type=value, value=launch_region_wrong_draft_003, version=17, env=production, state=draft, source_trust=owner, valid_from=2026-01-01, valid_until=NONE. state=draft, not approved, so not eligible.
- row 39: doc_id adversarial_project_003_launch_region_revokes_high, type=revocation, entity=adversarial_project_003, slot=launch_region, revokes=adversarial_project_003_launch_region_approved_high_revoked, version=16, env=production, state=approved, source_trust=regulatory, effective_on=2026-05-01.

Also check for any tombstone rows? None for this entity/slot.

Now apply rules step by step.

Rule 1: Consider only rows matching the requested entity and slot. Already done.

Rule 2: Candidate rows must have type=value, env=production, state=approved. So from the list, eligible value rows: row 3, row 4, row 20. Row 17 is future, row 30 is draft.

Rule 3: Candidate valid_from must be on or before today (2026-07-08). All three have valid_from 2026-01-01, which is before today. So all three are valid.

Rule 4: Candidate valid_until must be NONE or after today. All three have valid_until=NONE, so they are valid.

Rule 5: Ignore any candidate whose doc_id is named by a matching type=revocation row. We have a revocation row (row 39) that revokes doc_id adversarial_project_003_launch_region_approved_high_revoked. That is row 4. So row 4 is revoked and must be ignored.

Rule 6: Ignore any candidate whose source_trust is imported if an eligible owner or regulatory candidate exists. Among remaining candidates (row 3 and row 20), row 3 has source_trust=imported, row 20 has source_trust=owner. Since there is an eligible owner candidate (row 20), we must ignore the imported candidate (row 3). So row 3 is ignored.

Now only row 20 remains: value=launch_region_governed_003, version=8, source_trust=owner.

Rule 7: Check for eligible type=tombstone row with effective_on on or before today. There is no tombstone row for this entity/slot. So not UNKNOWN.

Rule 8: Choose the eligible value row with highest version. Only one candidate left: row 20 with version 8. So answer is launch_region_governed_003.

Source: src/adversarial_project_003/launch_region/owner-approved-r8.md (from row 20).

Revision"
4,adversarial_project_003:launch_region,adversarial_policy,isc,adversarial_project_003,launch_region,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,launch_region_governed_003,src/adversarial_project_003/launch_region/owner-approved-r8.md,8,False,launch_region_governed_003,src/adversarial_project_003/launch_region/owner-approved-r8.md,8,The compiled record for entity 'adversarial_project_003' slot 'launch_region' indicates a non-deleted value of 'launch_region_governed_003' at revision 8 from the specified source.,True,True,True,8472.0,204,345,549,0.00012516,"{
""value"": ""launch_region_governed_003"",
""source"": ""src/adversarial_project_003/launch_region/owner-approved-r8.md"",
""revision"": 8,
""rationale"": ""The compiled record for entity 'adversarial_project_003' slot 'launch_region' indicates a non-deleted value of 'launch_region_governed_003' at revision 8 from the specified source.""
}"
5,adversarial_project_004:risk_owner,adversarial_policy,qsr,adversarial_project_004,risk_owner,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,risk_owner_governed_004,src/adversarial_project_004/risk_owner/owner-approved-r5.md,5,False,,,,,False,False,False,8180.5,7286,1024,8310,0.00130676,"We need to determine the current value for slot 'risk_owner' of entity 'adversarial_project_004' as of today 2026-07-08.

First, identify all rows matching entity=adversarial_project_004 and slot=risk_owner. From the context:

- row 4: doc_id adversarial_project_004_risk_owner_approved_5, type=value, value=risk_owner_governed_004, version=5, env=production, state=approved, source_trust=owner, valid_from=2026-01-01, valid_until=NONE, source=src/adversarial_project_004/risk_owner/owner-approved-r5.md

- row 7: doc_id adversarial_project_004_risk_owner_distractor_8, type=note, not a value row, ignore.

- row 23: doc_id adversarial_project_004_risk_owner_approved_imported, type=value, value=risk_owner_wrong_imported_004, version=10, env=production, state=approved, source_trust=imported, valid_from=2026-01-01, valid_until=NONE, source=src/adversarial_project_004/risk_owner/imported-r10.md

- row 50: doc_id adversarial_project_004_risk_owner_revokes_high, type=revocation, revokes: adversarial_project_004_risk_owner_approved_high_revoked, version=13, env=production, state=approved, source_trust=regulatory, effective_on=2026-05-01, source=src/adversarial_project_004/risk_owner/revocation-r13.md. This revocation targets doc_id adversarial_project_004_risk_owner_approved_high_revoked.

- row 57: doc_id adversarial_project_004_risk_owner_draft_latest, type=value, value=risk_owner_wrong_draft_004, version=14, env=production, state=draft, source_trust=owner, valid_from=2026-01-01, valid_until=NONE, source=src/adversarial_project_004/risk_owner/draft-r14.md. State is draft, not approved, so not eligible.

- row 62: doc_id adversarial_project_004_risk_owner_approved_high_revoked, type=value, value=risk_owner_wrong_revoked_004, version=11, env=production, state=approved, source_trust=owner, valid_from=2026-01-01, valid_until=NONE, source=src/adversarial_project_004/risk_owner/owner-approved-r11.md. This is the row that is revoked by row 50.

- row 64: doc_id adversarial_project_004_risk_owner_approved_future, type=value, value=risk_owner_wrong_future_004, version=9, env=production, state=approved, source_trust=regulatory, valid_from=2026-12-01, valid_until=NONE, source=src/adversarial_project_004/risk_owner/future-r9.md. valid_from is 2026-12-01, which is after today (2026-07-08), so not eligible.

Now apply resolution rules:

Rule 1: Consider only rows matching entity and slot. So we have rows 4, 23, 57, 62, 64. Also row 50 is a revocation, but it's not a value row; it's a revocation row that may affect other rows.

Rule 2: Candidate rows must have type=value, env=production, state=approved. So from the value rows:
- row 4: type=value, env=production, state=approved -> candidate.
- row 23: type=value, env=production, state=approved -> candidate.
- row 57: state=draft -> not candidate.
- row 62: state=approved -> candidate.
- row 64: state=approved, but valid_from is future, so not eligible per rule 3.

Rule 3: Candidate valid_from must be on or before today (2026-07-08). For row 4: valid_from=2026-01-01 <= today, ok. Row 23: same. Row 62: valid_from=2026-01-01, ok. Row 64: valid_from=2026-12-01 > today, exclude.

Rule 4: Candidate valid_until must be NONE or after today. All have valid_until=NONE, so ok.

Rule 5: Ignore any candidate whose doc_id is named by a matching type=revocation row. We have a revocation row (row 50)"
5,adversarial_project_004:risk_owner,adversarial_policy,isc,adversarial_project_004,risk_owner,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,risk_owner_governed_004,src/adversarial_project_004/risk_owner/owner-approved-r5.md,5,False,risk_owner_governed_004,src/adversarial_project_004/risk_owner/owner-approved-r5.md,5,"The compiled record for entity 'adversarial_project_004' slot 'risk_owner' is not deleted (deleted: false), so the current value is taken directly from the record.",True,True,True,1644.7,202,206,408,8.596e-05,"{
""value"": ""risk_owner_governed_004"",
""source"": ""src/adversarial_project_004/risk_owner/owner-approved-r5.md"",
""revision"": 5,
""rationale"": ""The compiled record for entity 'adversarial_project_004' slot 'risk_owner' is not deleted (deleted: false), so the current value is taken directly from the record.""
}"
